,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18612,Audi,A5,2016,Black,2950000,Kenyan Used,Automatic,105000.0
18613,Peugeot,208,2017,Red,1230000,Foreign Used,Automatic,
18614,Mazda,Demio,2015,Blue,1250000,Foreign Used,Automatic,129000.0
18615,Toyota,Corolla,2015,White,1380000,Kenyan Used,Automatic,
18616,Volkswagen,Golf,2012,Black,670000,Kenyan Used,Automatic,
18617,Mercedes-Benz,S-Class,2008,Gray,2300000,Kenyan Used,Automatic,125000.0
18618,Nissan,Note,2016,Gray,1270000,Foreign Used,Manual,138000.0
18619,Toyota,Harrier,2016,Black,3995000,Foreign Used,Automatic,68000.0
18620,Nissan,Sunny,1996,Gray,150000,Kenyan Used,Manual,358600.0
18621,Mazda,Axela,2016,Red,1930000,Foreign Used,Automatic,
18622,Mercedes-Benz,E300,2009,Silver,1200000,Foreign Used,Automatic,80000.0
18623,Toyota,Harrier,2009,Black,1395000,Kenyan Used,Automatic,
18624,Mitsubishi,L200,1999,Gold,850000,Kenyan Used,Manual,316040.0
18625,Nissan,Note,2015,Silver,1185000,Foreign Used,Automatic,
18626,Toyota,Corolla,2014,Silver,1380000,Kenyan Used,Automatic,
18627,Nissan,X-Trail,2013,Black,1050000,Kenyan Used,Automatic,
18628,Mazda,CX-3,2015,Pearl,1800000,Foreign Used,Automatic,85492.0
18629,Mazda,Premacy,2015,Black,1300000,Foreign Used,Automatic,128196.0
18630,Toyota,Premio,2016,Silver,1100000,Kenyan Used,Automatic,128750.0
18631,Nissan,Note,2013,White,655000,Kenyan Used,Automatic,120320.0
18632,Isuzu,Tougher,2003,White,420000,Kenyan Used,Manual,195366.0
18633,Toyota,Voxy,2015,Blue,2250000,Foreign Used,Automatic,185306.0
18634,Toyota,Sienta,2016,Orange,1630000,Foreign Used,Automatic,67000.0
18635,Nissan,Juke,2016,Gray,1720000,Foreign Used,Automatic,109000.0
18636,Toyota,Ractis,2016,Black,1580000,Foreign Used,Automatic,92000.0
18637,Audi,A3,2016,White,1950000,Foreign Used,Automatic,73000.0
18638,Isuzu,D-MAX,2020,White,2640000,Kenyan Used,Manual,70000.0
18640,Nissan,Note,2013,Purple,750000,Kenyan Used,Automatic,96000.0
18641,Toyota,Vanguard,2009,Silver,1630000,Kenyan Used,Automatic,115000.0
18642,Mercedes-Benz,GLA-Class,2016,Black,3450000,Foreign Used,Automatic,
18643,Toyota,Harrier,2016,White,3980000,Foreign Used,Automatic,67000.0
18644,Toyota,Passo,2015,Pink,950000,Foreign Used,Automatic,70000.0
18645,Toyota,Vitz,2015,Gold,1280000,Foreign Used,Automatic,90000.0
18646,Mitsubishi,Outlander,2017,Gray,3500000,Kenyan Used,Automatic,75000.0
18647,Subaru,Liberty,2015,Silver,2800000,Kenyan Used,CVT,82500.0
18648,Honda,Fit,2016,White,1350000,Foreign Used,Automatic,38000.0
18649,Mazda,CX-3,2016,Blue,2150000,Foreign Used,Automatic,
18650,Mercedes-Benz,C200,2012,Black,2000000,Kenyan Used,Automatic,
